date,amount,type,category,description,account,toAccount
2026-03-01,85000.00,income,Salary,March salary,SBI,
2026-03-01,15000.00,transfer,,Monthly savings transfer,SBI,HDFC
2026-03-02,7200.00,expense,Housing,March rent,SBI,
2026-03-03,1400.00,expense,Food,Weekly groceries,SBI,
2026-03-03,550.00,expense,Transport,Ola rides,SBI,
2026-03-04,1100.00,expense,Food,Zomato orders,SBI,
2026-03-05,2200.00,expense,Health,Annual health checkup,SBI,
2026-03-06,800.00,expense,Entertainment,Movie tickets,HDFC,
2026-03-07,480.00,expense,Transport,Metro and bus pass,SBI,
2026-03-08,1300.00,expense,Food,Groceries,SBI,
2026-03-09,7800.00,expense,Shopping,Laptop bag and accessories,HDFC,
2026-03-10,600.00,expense,Entertainment,OTT subscriptions,HDFC,
2026-03-11,900.00,expense,Food,Restaurant outing,SBI,
2026-03-12,20000.00,expense,Investment,Mutual fund SIP,HDFC,
2026-03-13,350.00,expense,Transport,Petrol,SBI,
2026-03-14,5000.00,income,Freelance,Website design payment,HDFC,
2026-03-15,1050.00,expense,Food,Groceries and snacks,SBI,
2026-03-16,750.00,expense,Health,Pharmacy,SBI,
2026-03-17,420.00,expense,Transport,Cab rides,SBI,
2026-03-18,680.00,expense,Food,Swiggy orders,SBI,
2026-03-19,3200.00,expense,Shopping,Sports shoes,HDFC,
2026-03-20,500.00,expense,Entertainment,Board game cafe,HDFC,
2026-03-21,1200.00,expense,Food,Weekly groceries,SBI,
2026-03-22,380.00,expense,Transport,Auto and metro,SBI,
2026-03-23,900.00,expense,Food,Dinner with friends,SBI,
2026-03-24,1500.00,expense,Health,Physiotherapy session,SBI,
2026-03-25,550.00,expense,Transport,Petrol,SBI,
2026-03-26,800.00,expense,Food,Groceries,SBI,
2026-03-27,2800.00,expense,Shopping,Home appliance,HDFC,
2026-03-28,450.00,expense,Entertainment,Concert streaming,HDFC,
